opp,pos,games,fp_avg,pass_yds_avg,rush_yds_avg,rec_avg,rec_yds_avg,tgt_avg,td_avg,season,opp_nick,rank
GB,QB,3,11.473333333333334,132.66666666666666,8.333333333333334,0.0,0.0,0.0,1.3333333333333333,2026,Packers,25
MIN,QB,3,9.786666666666667,193.0,14.0,0.0,0.0,0.0,0.6666666666666666,2026,Vikings,26
KC,QB,2,8.42,170.5,6.0,0.0,0.0,0.0,1.0,2026,Chiefs,27
SEA,QB,2,8.16,136.5,27.0,0.0,0.0,0.0,1.0,2026,Seahawks,28
LA,QB,3,8.146666666666667,112.0,10.0,0.0,0.0,0.0,1.0,2026,Rams,29
PIT,QB,2,6.869999999999999,175.5,8.5,0.0,0.0,0.0,0.5,2026,Steelers,30
SF,QB,3,6.0,121.66666666666667,4.666666666666667,0.0,0.0,0.0,0.3333333333333333,2026,49ers,31
NE,QB,4,4.395,96.75,5.25,0.0,0.0,0.0,0.25,2026,Patriots,32
CAR,RB,5,14.52,0.0,69.4,1.6,11.8,1.8,0.8,2026,Panthers,1
BUF,RB,5,12.040000000000001,0.0,32.2,2.2,18.2,2.6,0.8,2026,Bills,2
IND,RB,6,11.4,0.0,49.0,1.6666666666666667,18.333333333333332,2.3333333333333335,0.5,2026,Colts,3
MIA,RB,6,10.566666666666668,0.0,34.333333333333336,1.6666666666666667,14.666666666666666,1.6666666666666667,0.6666666666666666,2026,Dolphins,4
NYG,RB,5,10.3,0.0,43.8,1.6,11.2,1.6,0.6,2026,Giants,5
NO,RB,6,9.65,0.0,39.5,1.8333333333333333,12.0,1.8333333333333333,0.5,2026,Saints,6
DET,RB,5,9.18,0.0,43.0,1.8,6.8,2.8,0.4,2026,Lions,7
PIT,RB,6,8.833333333333334,0.0,38.833333333333336,1.6666666666666667,16.166666666666668,2.3333333333333335,0.3333333333333333,2026,Steelers,8
TEN,RB,5,8.7,0.0,41.6,1.4,7.4,1.8,0.4,2026,Titans,9
DEN,RB,7,8.671428571428573,0.0,40.857142857142854,1.1428571428571428,8.714285714285714,1.7142857142857142,0.42857142857142855,2026,Broncos,10
KC,RB,5,8.18,0.0,29.2,1.6,12.6,1.6,0.4,2026,Chiefs,11
BAL,RB,5,8.120000000000001,0.0,28.0,2.2,7.2,2.6,0.4,2026,Ravens,12
CHI,RB,6,8.066666666666666,0.0,34.0,1.0,16.666666666666668,1.1666666666666667,0.3333333333333333,2026,Bears,13
GB,RB,6,7.616666666666667,0.0,22.5,1.1666666666666667,12.0,1.3333333333333333,0.5,2026,Packers,14
DAL,RB,7,7.114285714285715,0.0,31.571428571428573,1.5714285714285714,9.571428571428571,1.7142857142857142,0.2857142857142857,2026,Cowboys,15
CLE,RB,5,6.76,0.0,44.0,1.8,5.6,2.0,0.0,2026,Browns,16
LAC,RB,5,6.6,0.0,31.4,1.6,6.6,2.8,0.2,2026,Chargers,17
LV,RB,5,6.58,0.0,30.6,1.4,13.2,1.6,0.2,2026,Raiders,18
TB,RB,6,6.5,0.0,17.333333333333332,2.3333333333333335,14.333333333333334,2.6666666666666665,0.16666666666666666,2026,Buccaneers,19
CIN,RB,6,6.0,0.0,13.0,2.5,15.333333333333334,2.6666666666666665,0.16666666666666666,2026,Bengals,20
JAX,RB,6,5.983333333333333,0.0,18.333333333333332,1.6666666666666667,14.833333333333334,1.8333333333333333,0.16666666666666666,2026,Jaguars,21
SF,RB,7,5.885714285714286,0.0,29.428571428571427,1.1428571428571428,9.428571428571429,1.8571428571428572,0.14285714285714285,2026,49ers,22
LA,RB,6,5.466666666666666,0.0,30.666666666666668,1.6666666666666667,7.333333333333333,2.3333333333333335,0.0,2026,Rams,23
MIN,RB,5,5.46,0.0,31.6,1.4,13.0,1.8,0.0,2026,Vikings,24
SEA,RB,6,5.383333333333333,0.0,20.833333333333332,2.0,13.0,2.1666666666666665,0.0,2026,Seahawks,25
PHI,RB,7,5.2,0.0,30.857142857142858,0.8571428571428571,4.0,0.8571428571428571,0.14285714285714285,2026,Eagles,26
ARI,RB,5,5.18,0.0,41.8,0.4,2.0,0.8,0.2,2026,Cardinals,27
ATL,RB,6,5.1000000000000005,0.0,21.166666666666668,1.6666666666666667,6.5,2.3333333333333335,0.16666666666666666,2026,Falcons,28
HOU,RB,5,4.9799999999999995,0.0,29.8,1.4,6.0,2.0,0.0,2026,Texans,29
NYJ,RB,5,4.84,0.0,22.0,1.2,6.4,2.0,0.2,2026,Jets,30
NE,RB,8,4.0875,0.0,20.625,1.0,10.25,1.375,0.0,2026,Patriots,31
WAS,RB,6,3.4,0.0,21.5,0.8333333333333334,4.166666666666667,1.1666666666666667,0.0,2026,Commanders,32
WAS,TE,3,14.666666666666666,0.0,0.0,2.6666666666666665,40.0,3.0,1.3333333333333333,2026,Commanders,1
DET,TE,6,9.783333333333333,0.0,0.0,2.6666666666666665,31.166666666666668,4.166666666666667,0.6666666666666666,2026,Lions,2
CIN,TE,4,9.25,0.0,0.0,4.25,50.0,5.25,0.0,2026,Bengals,3
TB,TE,5,8.84,0.0,0.0,3.0,34.4,3.8,0.4,2026,Buccaneers,4
DAL,TE,4,8.425,0.0,0.0,2.75,26.75,2.75,0.5,2026,Cowboys,5
LAC,TE,4,7.975,0.0,0.0,3.25,32.25,4.5,0.25,2026,Chargers,6
IND,TE,5,7.540000000000001,0.0,0.0,3.0,33.4,4.0,0.2,2026,Colts,7
ATL,TE,6,6.8999999999999995,0.0,0.0,2.0,19.0,2.1666666666666665,0.5,2026,Falcons,8
MIA,TE,4,6.8,0.0,0.0,2.5,28.0,2.75,0.25,2026,Dolphins,9
KC,TE,5,6.340000000000001,0.0,0.6,2.4,14.8,3.2,0.4,2026,Chiefs,10
SEA,TE,5,6.180000000000001,0.0,0.0,2.4,13.8,2.8,0.4,2026,Seahawks,11
GB,TE,4,6.0,0.0,0.0,2.5,20.0,3.5,0.25,2026,Packers,12
NO,TE,4,5.550000000000001,0.0,0.0,3.0,25.5,4.25,0.0,2026,Saints,13
HOU,TE,4,5.55,0.0,0.0,2.0,35.5,2.5,0.0,2026,Texans,14
BUF,TE,6,5.266666666666667,0.0,0.0,2.3333333333333335,19.333333333333332,3.1666666666666665,0.16666666666666666,2026,Bills,15
CLE,TE,4,5.25,0.0,0.0,2.0,17.5,2.75,0.25,2026,Browns,16
NYG,TE,6,5.133333333333333,0.0,0.0,2.3333333333333335,18.0,2.8333333333333335,0.16666666666666666,2026,Giants,17
BAL,TE,5,4.54,0.0,0.0,1.6,17.4,2.2,0.2,2026,Ravens,18
ARI,TE,6,4.433333333333334,0.0,0.16666666666666666,1.6666666666666667,17.5,1.6666666666666667,0.16666666666666666,2026,Cardinals,19
JAX,TE,5,4.4,0.0,1.2,1.4,16.8,1.6,0.2,2026,Jaguars,20
LV,TE,5,4.12,0.0,0.0,1.6,13.2,2.2,0.2,2026,Raiders,21
NYJ,TE,3,4.0,0.0,0.0,2.3333333333333335,16.666666666666668,3.0,0.0,2026,Jets,22
MIN,TE,5,3.94,0.0,0.0,1.4,25.4,3.2,0.0,2026,Vikings,23
LA,TE,4,3.85,0.0,0.0,2.25,16.0,5.25,0.0,2026,Rams,24
DEN,TE,5,3.78,0.0,0.0,1.6,21.8,2.0,0.0,2026,Broncos,25
TEN,TE,5,3.7600000000000002,0.0,0.6,1.8,7.0,2.4,0.2,2026,Titans,26
CAR,TE,5,3.6,0.0,0.0,1.0,14.0,2.6,0.2,2026,Panthers,27
CHI,TE,6,3.5833333333333335,0.0,0.0,1.6666666666666667,19.166666666666668,2.3333333333333335,0.0,2026,Bears,28
NE,TE,4,3.1,0.0,0.5,1.75,13.0,2.25,0.0,2026,Patriots,29
PIT,TE,5,2.2,0.0,0.0,0.8,14.0,1.4,0.0,2026,Steelers,30
PHI,TE,5,2.04,0.0,0.0,1.2,8.4,1.8,0.0,2026,Eagles,31
SF,TE,6,1.7,0.0,0.0,1.1666666666666667,8.666666666666666,1.6666666666666667,0.0,2026,49ers,32
ARI,WR,7,11.614285714285714,0.0,0.5714285714285714,3.4285714285714284,47.0,5.571428571428571,0.5714285714285714,2026,Cardinals,1
DET,WR,9,9.544444444444444,0.0,0.2222222222222222,3.3333333333333335,48.55555555555556,4.555555555555555,0.2222222222222222,2026,Lions,2
GB,WR,8,8.875,0.0,1.75,3.125,30.75,4.625,0.375,2026,Packers,3
WAS,WR,9,8.755555555555555,0.0,0.1111111111111111,3.0,37.44444444444444,4.111111111111111,0.3333333333333333,2026,Commanders,4
CLE,WR,9,8.68888888888889,0.0,1.2222222222222223,2.3333333333333335,35.666666666666664,3.5555555555555554,0.4444444444444444,2026,Browns,5
MIN,WR,9,8.633333333333333,0.0,0.0,3.0,43.0,5.0,0.2222222222222222,2026,Vikings,6
HOU,WR,10,8.59,0.0,0.0,2.5,36.9,3.9,0.4,2026,Texans,7
BUF,WR,10,8.510000000000002,0.0,0.7,2.7,39.4,4.3,0.3,2026,Bills,8
IND,WR,10,8.49,0.0,0.0,2.4,42.9,3.3,0.3,2026,Colts,9
NYG,WR,9,8.2,0.0,0.0,2.4444444444444446,37.55555555555556,3.888888888888889,0.3333333333333333,2026,Giants,10
NO,WR,9,7.633333333333334,0.0,0.0,2.6666666666666665,29.666666666666668,4.444444444444445,0.3333333333333333,2026,Saints,11
TEN,WR,11,7.490909090909091,0.0,0.6363636363636364,2.6363636363636362,37.0,3.272727272727273,0.18181818181818182,2026,Titans,12
LAC,WR,11,7.254545454545454,0.0,0.0,2.272727272727273,33.45454545454545,3.090909090909091,0.2727272727272727,2026,Chargers,13
CHI,WR,8,7.1125,0.0,0.0,2.25,36.125,4.0,0.25,2026,Bears,14
LA,WR,9,6.7555555555555555,0.0,1.3333333333333333,2.111111111111111,25.11111111111111,3.3333333333333335,0.3333333333333333,2026,Rams,15
ATL,WR,9,6.722222222222222,0.0,0.0,2.7777777777777777,39.44444444444444,4.666666666666667,0.0,2026,Falcons,16
