season,week,player,team,position,team_dropbacks,routes,route_pct,targets
2026,2,Jerry Jeudy,CLE,WR,35,20.6,0.59,0
2026,2,KC Concepcion,CLE,WR,35,23.1,0.66,0
2026,2,Malachi Corley,CLE,WR,35,0.0,0.0,0
2026,2,Michael Burton,CLE,FB,35,6.0,0.17,0
2026,2,Quinshon Judkins,CLE,RB,35,23.5,0.67,0
2026,2,Raheim Sanders,CLE,RB,35,6.7,0.19,0
2026,2,Tylan Wallace,CLE,WR,35,8.4,0.24,0
2026,2,Brevyn Spann-Ford,DAL,TE,36,13.7,0.38,0
2026,2,CeeDee Lamb,DAL,WR,36,27.0,0.75,0
2026,2,Dak Prescott,DAL,QB,36,36.0,1.0,0
2026,2,Emari Demercado,DAL,RB,36,5.8,0.16,0
2026,2,George Pickens,DAL,WR,36,27.4,0.76,0
2026,2,Hunter Luepke,DAL,FB,36,6.5,0.18,0
2026,2,Jake Ferguson,DAL,TE,36,21.6,0.6,0
2026,2,Javonte Williams,DAL,RB,36,28.8,0.8,0
2026,2,Jonathan Mingo,DAL,WR,36,7.2,0.2,0
2026,2,KaVontae Turpin,DAL,WR,36,3.2,0.09,0
2026,2,Luke Schoonmaker,DAL,TE,36,10.4,0.29,0
2026,2,Ryan Flournoy,DAL,WR,36,27.4,0.76,0
2026,2,Adam Prentice,DEN,FB,31,4.0,0.13,0
2026,2,Adam Trautman,DEN,TE,31,20.2,0.65,0
2026,2,Bo Nix,DEN,QB,31,31.0,1.0,0
2026,2,Courtland Sutton,DEN,WR,31,22.6,0.73,0
2026,2,Evan Engram,DEN,TE,31,16.1,0.52,0
2026,2,J.K. Dobbins,DEN,RB,31,10.5,0.34,0
2026,2,Jaylen Waddle,DEN,WR,31,18.9,0.61,0
2026,2,Jonah Coleman,DEN,RB,31,12.4,0.4,0
2026,2,Lil'Jordan Humphrey,DEN,WR,31,1.6,0.05,0
2026,2,Nate Adkins,DEN,TE,31,11.5,0.37,0
2026,2,Pat Bryant,DEN,WR,31,20.5,0.66,0
2026,2,Troy Franklin,DEN,WR,31,6.5,0.21,0
2026,2,Tyler Badie,DEN,RB,31,8.1,0.26,0
2026,2,Amon-Ra St. Brown,DET,WR,44,41.8,0.95,0
2026,2,Brock Wright,DET,TE,44,11.4,0.26,0
2026,2,Isaac TeSlaa,DET,WR,44,33.0,0.75,0
2026,2,Jackson Meeks,DET,TE,44,0.9,0.02,0
2026,2,Jacob Saylors,DET,RB,44,0.0,0.0,0
2026,2,Jahmyr Gibbs,DET,RB,44,36.5,0.83,0
2026,2,Jameson Williams,DET,WR,44,42.7,0.97,0
2026,2,Jared Goff,DET,QB,44,44.0,1.0,0
2026,2,Sam LaPorta,DET,TE,44,43.1,0.98,0
2026,2,Sione Vaki,DET,RB,44,7.5,0.17,0
2026,2,Tay Martin,DET,WR,44,0.0,0.0,0
2026,2,Tom Kennedy,DET,WR,44,0.0,0.0,0
2026,2,Tyler Conklin,DET,TE,44,2.6,0.06,0
2026,2,Bo Melton,GB,WR,32,4.8,0.15,0
2026,2,Chris Brooks,GB,RB,32,14.7,0.46,0
2026,2,Christian Watson,GB,WR,32,28.8,0.9,0
2026,2,J. Michael Sturdivant,GB,WR,32,4.8,0.15,0
2026,2,Jayden Reed,GB,WR,32,1.0,0.03,0
2026,2,Jonnu Smith,GB,TE,32,7.0,0.22,0
2026,2,Jordan Love,GB,QB,32,32.0,1.0,0
2026,2,Josh Whyle,GB,TE,32,0.0,0.0,0
2026,2,Kaleb Johnson,GB,RB,32,8.6,0.27,0
2026,2,MarShawn Lloyd,GB,RB,32,8.6,0.27,0
2026,2,Mark Redman,GB,TE,32,10.9,0.34,0
2026,2,Matthew Golden,GB,WR,32,27.5,0.86,0
2026,2,Skyy Moore,GB,WR,32,11.5,0.36,0
2026,2,Tucker Kraft,GB,TE,32,31.4,0.98,0
2026,2,British Brooks,HOU,RB,63,0.0,0.0,0
2026,2,C.J. Stroud,HOU,QB,63,63.0,1.0,0
2026,2,Cade Stover,HOU,TE,63,6.3,0.1,0
2026,2,Dalton Schultz,HOU,TE,63,42.8,0.68,0
2026,2,David Montgomery,HOU,RB,63,32.8,0.52,0
2026,2,Foster Moreau,HOU,TE,63,18.3,0.29,0
2026,2,Jared Wayne,HOU,WR,63,31.5,0.5,0
2026,2,Jaylin Noel,HOU,WR,63,37.8,0.6,0
2026,2,Kayshon Boutte,HOU,WR,63,45.4,0.72,0
2026,2,Lewis Bond,HOU,WR,63,10.1,0.16,0
2026,2,Marlin Klein,HOU,TE,63,6.9,0.11,0
2026,2,Woody Marks,HOU,RB,63,30.2,0.48,0
2026,2,Xavier Hutchinson,HOU,WR,63,51.0,0.81,0
