article_id,source,headline,description,published,web_url,athlete_ids,team_ids,pulled_at
ed34677c-e412-45c5-849f-34d472a43835,cbs_rss,"Chiefs vs. Colts: How to watch, stream 'Sunday Night Football,' plus odds and prediction","Patrick Mahomes and the Chiefs host the Colts on Sunday night; here is how to watch the game, along with the latest odds and our prediction","Sat, 19 Sep 2026 18:18:58 +0000",https://www.cbssports.com/nfl/news/chiefs-vs-colts-how-to-watch-tv-channel-live-stream-nfl-start-time-odds/,,,2026-09-20T01:03:58Z
3158f38a-2209-4afc-82b2-19bc160594a2,cbs_rss,"Steelers vs. Patriots: How to watch Maye vs. Rodgers in New England, prediction","The Steelers are hoping to get off to a 2-0 start, while the Patriots remain in search of their first win","Sat, 19 Sep 2026 18:20:40 +0000",https://www.cbssports.com/nfl/news/steelers-vs-patriots-how-to-watch-maye-vs-rodgers/,,,2026-09-20T01:03:58Z
e5cae489-7872-484a-a0c6-9eb372c01c15,cbs_rss,"No, Pack, no: Missing Micah Parsons, Green Bay ties grim NFL record -- and may currently be NFC's worst team","Parsons' absence can't be the only excuse, which is why Matt LaFleur should be on a warming seat","Sat, 19 Sep 2026 13:07:33 +0000",https://www.cbssports.com/nfl/news/packers-without-micah-parsons-worst-team-in-nfc/,,,2026-09-20T01:03:58Z
7705b052-e9bf-4dc1-b9bb-f9c1a161f632,cbs_rss,Bengals star Joe Burrow listed as questionable: Here's what Zac Taylor said about Week 2 status,Why the Bengals' QB was listed as questionable for Week 2,"Sun, 20 Sep 2026 00:03:32 +0000",https://www.cbssports.com/nfl/news/joe-burrow-injury-update-bengals-qb-questionable/,,,2026-09-20T01:03:58Z
40963d3f-f5f0-4230-b8f7-6584c9926c47,cbs_rss,Texans rule out two-time Pro Bowl WR Nico Collins for Week 2 vs. Bengals,"Collins had seven catches and a touchdown in Week 1, but he suffered a hamstring injury during Wednesday's practice","Fri, 18 Sep 2026 20:59:48 +0000",https://www.cbssports.com/nfl/news/nico-collins-hamstring-injury-status-unclear-for-week-2-per-report/,,,2026-09-20T01:03:58Z
a0d49ae6-3ad5-478b-bc30-52d03a88b648,cbs_rss,Here's what Tom Cruise and Taylor Swift talked about at the Chiefs' NFL opener,"Cruise attended his first NFL game in many years, and described the experience and discussions with Taylor Swift","Fri, 18 Sep 2026 20:47:04 +0000",https://www.cbssports.com/nfl/news/tom-cruise-taylor-swift-chiefs/,,,2026-09-20T01:03:58Z
df63eda4-d2f9-46c2-9e0d-abc1f19081fb,cbs_rss,"Joey Porter Jr. best trade fits: Why Cowboys make sense, two NFC North teams could be in line to make offer","Five possible mock trade fits for Porter, who is still at odds with the Steelers and is out for Week 2","Fri, 18 Sep 2026 20:04:18 +0000",https://www.cbssports.com/nfl/news/joey-porter-jr-best-trade-fits-why-cowboys-make-sense-chargers-bills/,,,2026-09-20T01:03:58Z
5dc5d7b1-b314-4527-9da9-f5c22c4bf37f,cbs_rss,"Vikings rule out Kyler Murray for Week 2 vs. Bears, Carson Wentz to start",Murray remains in concussion protocol after his anticipated Vikings debut lasted less than one quarter,"Fri, 18 Sep 2026 19:31:42 +0000",https://www.cbssports.com/nfl/news/kyler-murray-injury-vikings-qb-carson-wentz/,,,2026-09-20T01:03:58Z
049ab790-1ef6-4917-9dc1-2dd8cc9af742,cbs_rss,"Why Cowboys need to sign free agent Bobby Wagner to fix defensive woes, communication",Dallas rookie Jaishawn Barham is poised to fill in at the middle linebacker role with DeMarvion Overshown sidelined. But Wagner is the veteran presence they need,"Fri, 18 Sep 2026 18:00:56 +0000",https://www.cbssports.com/nfl/news/why-dallas-cowboys-need-free-agent-bobby-wagner/,,,2026-09-20T01:03:58Z
e0c89373-0172-4133-bba9-9ec687d003a6,cbs_rss,Falcons to start Cooper Rush vs. Panthers as Michael Penix Jr. continues recovery,Rush took Atlanta's first-team reps Friday and will start against Carolina while Penix continues recovering from last season's ACL tear,"Fri, 18 Sep 2026 17:35:10 +0000",https://www.cbssports.com/nfl/news/falcons-starting-qb-cooper-rush-panthers/,,,2026-09-20T01:03:58Z
b3178269-0d11-48e0-87f0-d26c7234c1b4,cbs_rss,Rob Gronkowski has surprising response to Romeo Doubs taking his Patriots number,"Gronk said that only one number is untouchable in New England, and it's not his","Fri, 18 Sep 2026 16:39:25 +0000",https://www.cbssports.com/nfl/news/rob-gronkowski-romeo-doubs-patriots/,,,2026-09-20T01:03:58Z
